2026-09-05 00:13:00,243 | INFO | attendance | Application started successfully.
2026-09-05 00:13:00,243 | INFO | attendance | Face engine mode: simple
2026-09-05 00:13:00,243 | INFO | attendance | Face detector: ultraface
2026-09-05 00:13:00,302 | INFO | attendance | Startup: starting active cameras...
2026-09-05 00:13:00,307 | INFO | attendance | Camera loop started for '1'
2026-09-05 00:13:00,358 | INFO | attendance | CameraService: started 1 cameras
2026-09-05 00:13:00,358 | INFO | attendance | Startup: building face gallery...
2026-09-05 00:13:00,358 | INFO | attendance | EmployeeService: rebuilding face gallery...
2026-09-05 00:13:00,359 | INFO | attendance | FaceGallery: loaded 0 employees with faces
2026-09-05 00:13:00,359 | INFO | attendance | FaceEngine: gallery is empty, nothing to train
2026-09-05 00:13:00,359 | INFO | attendance | EmployeeService: gallery rebuild complete
2026-09-05 00:13:00,403 | INFO | attendance | Camera '1' (id=1): connecting to 0
2026-09-05 00:13:01,161 | INFO | attendance | Camera '1': connected successfully
2026-09-05 00:15:26,409 | INFO | attendance | Shutdown: stopping all cameras...
2026-09-05 00:15:26,882 | INFO | attendance | Camera '1': disconnected
2026-09-05 00:15:26,883 | INFO | attendance | CameraService: stopped all cameras
2026-09-05 00:15:26,883 | INFO | attendance | Camera '1': disconnected
2026-09-05 00:15:26,884 | INFO | attendance | Camera loop stopped for '1'
2026-09-05 00:17:53,199 | INFO | attendance | FaceDetector initialized with ONNX Runtime (UltraFace) (model: ultraface-RFB-320.onnx, input: 320x240)
2026-09-05 00:17:53,200 | WARNING | attendance | FaceEngine: cv2.face not available, falling back to simple distance mode
2026-09-05 00:17:53,203 | INFO | attendance | Application started successfully.
2026-09-05 00:17:53,203 | INFO | attendance | Face engine mode: simple
2026-09-05 00:17:53,203 | INFO | attendance | Face detector: ultraface
2026-09-05 00:17:53,273 | INFO | attendance | Startup: starting active cameras...
2026-09-05 00:17:53,278 | INFO | attendance | Camera loop started for '1'
2026-09-05 00:17:53,453 | INFO | attendance | Camera '1' (id=1): connecting to 0
2026-09-05 00:17:53,534 | INFO | attendance | CameraService: started 1 cameras
2026-09-05 00:17:53,534 | INFO | attendance | Startup: building face gallery...
2026-09-05 00:17:53,534 | INFO | attendance | EmployeeService: rebuilding face gallery...
2026-09-05 00:17:53,535 | INFO | attendance | FaceGallery: loaded 0 employees with faces
2026-09-05 00:17:53,535 | INFO | attendance | FaceEngine: gallery is empty, nothing to train
2026-09-05 00:17:53,536 | INFO | attendance | EmployeeService: gallery rebuild complete
2026-09-05 00:17:54,308 | INFO | attendance | Camera '1': connected successfully
2026-09-05 00:23:20,710 | INFO | attendance | Shutdown: stopping all cameras...
2026-09-05 00:23:21,183 | INFO | attendance | Camera '1': disconnected
2026-09-05 00:23:21,183 | INFO | attendance | CameraService: stopped all cameras
